Tote #,Strain,Date,Trimmer #,Flower,Smalls,Original Tote Wt.,Trim,Trash
1.0,Illemonati,11/27/24,2.0,882.0,48.0,4.5,269.0,732.0
2.0,Illemonati,11/27/24,16.0,990.0,84.0,5.4,424.0,824.0
3.0,Illemonati,12/2/24,17.0,826.0,104.0,4.5,349.0,761.0
4.0,Illemonati,11/27/24,54.0,1019.0,52.0,5.2,340.0,819.0
5.0,Illemonati,11/27/24,55.0,907.0,42.0,5.9,324.0,995.0
6.0,Illemonati,12/2/24,51.0,1001.0,38.0,4.8,274.0,801.0
7.0,Illemonati,11/27/24,58.0,1172.0,99.0,6.1,352.0,1048.0
8.0,Illemonati,11/27/24,44.0,969.0,29.0,5.8,586.0,860.0
9.0,Illemonati,12/2/24,7.0,996.0,30.0,5.2,316.0,943.0
10.0,Illemonati,12/2/24,31.0,1104.0,16.0,5.2,353.0,1002.0
11.0,Illemonati,12/10/24,14.0,890.0,24.0,4.3,168.0,916.0
12.0,Illemonati,12/2/24,6.0,916.0,52.0,4.7,326.0,842.0
13.0,Illemonati,12/2/24,41.0,985.0,13.0,5.3,482.0,842.0
14.0,Illemonati,12/2/24,9.0,744.0,27.0,4.3,311.0,805.0
15.0,Illemonati,12/10/24,24.0,936.0,95.0,5.3,513.0,879.0
16.0,Illemonati,12/2/24,16.0,801.0,60.0,4.8,408.0,893.0
17.0,Illemonati,12/16/24,34.0,876.0,73.0,6.6,879.0,1098.0
18.0,Illemonati,12/16/24,38.0,946.0,53.0,5.1,433.0,901.0
19.0,Illemonati,12/18/24,44.0,764.0,49.0,4.7,347.0,838.0
20.0,Illemonati,12/16/24,23.0,1083.0,58.0,4.8,360.0,899.0
21.0,Illemonati,12/16/24,31.0,858.0,41.0,5.0,305.0,955.0
22.0,Illemonati,11/27/24,7.0,865.0,13.0,4.6,270.0,819.0
23.0,Illemonati,11/27/24,31.0,809.0,19.0,4.4,242.0,708.0
24.0,Illemonati,12/16/24,30.0,948.0,58.0,5.28,315.0,925.0
25.0,Illemonati,12/10/24,41.0,841.0,27.0,4.6,466.0,836.0
26.0,Illemonati,12/10/24,5.0,789.0,109.0,5.17,633.0,889.0
27.0,Illemonati,12/10/24,58.0,1002.0,77.0,5.4,405.0,886.0
28.0,Illemonati,12/10/24,5.0,653.0,54.0,4.58,497.0,715.0
29.0,Illemonati,12/10/24,11.0,916.0,142.0,6.1,556.0,1216.0
30.0,Illemonati,12/2/24,29.0,825.0,19.0,4.4,321.0,698.0
